National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,
CCD public school data 2020-2021 school year,,,,,,,,,,,,,,,,,,,,,,
The file contains (2130) records based on your search.,,,,,,,,,,,,,,,,,,,,,,
NOTES:,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
NOTE: SY 2020-21 geographical data are not available currently.,,,,,,,,,,,,,,,,,,,,,,
[ † ] indicates that the data are not applicable.,,,,,,,,,,,,,,,,,,,,,,
[ – ] indicates that the data are missing.,,,,,,,,,,,,,,,,,,,,,,
[ ‡ ] indicates that the data do not meet NCES data quality standards.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"SEARCH CRITERIA: State: ""Virginia"" - School Description: ""Regular, Special Education, Vocational, Other/Alternative""",,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. To download full CCD datasets, please go to the CCD home page. http://nces.ed.gov/ccd",,,,,,,,,,,,,,,,,,,,,,
NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
510105000374,VA-024-0240240,5101050,VA-024,PK,05,A G RICHARDSON ELEM,CULPEPER CO PBLC SCHS,18370 Simms Dr,Culpeper,VA,22701,,(540)825-0616,No,No,No,†,545.00000,37.83000,14.4000000,–,–
510084000314,VA-021-0210620,5100840,VA-021,PK,05,A M DAVIS ELEM,CHESTERFIELD CO PBLC SCHS,415 S Providence Rd,North Chesterfield,VA,23236,3343,(804)674-1310,No,No,Yes,Yes,724.00000,53.00000,13.7000000,–,–
510313002039,VA-075-0750330,5103130,VA-075,PK,05,A. HENDERSON ELEM,PRINCE WILLIAM CO PBLC SCHS,3799 Waterway Dr,Dumfries,VA,22025,,(703)670-2885,No,No,No,†,753.00000,42.83000,17.6000000,–,–
510003301933,VA-268-2680010,5100033,VA-268,UG,UG,A. LINWOOD HOLTON GOV. SCH.,A. LINWOOD HOLTON GOV SCH,Southwest Va Higher Ed Center,Abingdon,VA,24212,,(276)469-4027,No,Yes,No,†,0.00000,–,†,–,–
